Discipline,Knowledge Area,Tool / Technology,Role / System Orientation,Theme Cluster,Inequality
Communication & Narrative Studies,Sentiment Interpretation,Sentiment.js,Narrative Systems Builder,AI & Automation,Community Marginalisation |  Offline to Online
Human–Computer Interaction (HCI),Feedback Systems,ObservableHQ,System Architect,System Infrastructure,Community Marginalisation |  Offline to Online
Digital Humanities,Open Data and Open Data Sources,Open Data Portals,Policy Hacker,Data & Visualization,Data Surveillance and Extractivism
Science and Technology Studies (STS),Speculative and Critical Prototyping,Comfy UI / Stable Diffusion,Speculative Prototyper,Creative & Critical Expression,Community Marginalisation |  Offline to Online
User Experience (UX),Multilingual Systems,WebXR,Access Strategist,Digital Participation & Inclusion,Community Marginalisation |  Offline to Online
Law and Policy,Digital Rights and Regulation,TOS;DR,Policy Hacker,Governance & Ethics,Industry-Specific Inclusion and Exclusion
AI Ethics,Algorithmic Bias,ML5.js,AI Ethicist / Algorithm Analyst,AI & Automation,Community Marginalisation |  Offline to Online
Data Science,Data Architecture,MongoDB,Data Steward / Architect,Data & Visualization,AI and Algorithmic Bias
Design Studies,UX & Accessibility,Accessibility Tools,UX Designer,Digital Participation & Inclusion,Community Marginalisation |  Offline to Online
Environmental Humanities,Sustainable and Degrowth Approaches to Tech,Energy benchmarking tools,Public Technologist,Governance & Ethics,Community Marginalisation |  Offline to Online
Embodied Interaction,Embodied & Sensory Systems,Bare Conductive,Critical Technologist,Creative & Critical Expression,Community Marginalisation |  Offline to Online
Platform Labour Studies,Citizen Sensing & Participatory Sensing,Custom sensor kits,Participatory Technologist,Digital Participation & Inclusion,Community Marginalisation |  Offline to Online
